"id","year","contest","grade","q_num","q_text","a","b","c","d","e","answer"
"1","2025","AMC","8","1","What percent of the entire \(4 \times 4\) grid is covered by the star?","\(40\)","\(50\)","\(60\)","\(75\)","\(80\)","b"
"2","2025","AMC","8","2","What number was represented by the following combination of hieroglyphs? 𓂭𓍢 𓎆 𓏺𓍢𓍢𓍢 𓎆 𓏺𓏺","\(1423\)","\(10423\)","\(14023\)","\(14203\)","\(14230\)","b"
"3","2025","AMC","8","3","Annika and \(3\) of her friends play Buffalo Shuffle-o with \(15\) cards each. Suppose \(2\) more friends join. How many cards will each player get?","\(8\)","\(9\)","\(10\)","\(11\)","\(12\)","c"
"4","2025","AMC","8","4","Lucius is counting backward by \(7\)s. His first three numbers are \(100, 93, 86\). What is his \(10^{\text{th}}\) number?","\(30\)","\(37\)","\(42\)","\(44\)","\(47\)","b"
"5","2025","AMC","8","5","Betty drives from factory \(F\) to \(A\), then \(B\), then \(C\), and returns to \(F\). What is the shortest total distance (in blocks)?","\(20\)","\(22\)","\(24\)","\(26\)","\(28\)","c"
"6","2025","AMC","8","6","Sekou writes the numbers \(15,16,17,18,19\). After erasing one number, the sum of the remaining four is a multiple of \(4\). Which did he erase?","\(15\)","\(16\)","\(17\)","\(18\)","\(19\)","c"
"7","2025","AMC","8","7","Prof. Xochi’s class: \(5\) scored \(\leq 95\), \(13\) scored \(\leq 90\), \(27\) scored \(\leq 85\), \(50\) scored \(\leq 80\). How many scored \(\leq 80\) and \(<90\)?","\(8\)","\(14\)","\(22\)","\(37\)","\(45\)","d"
"8","2025","AMC","8","8","Isaiah cuts open a cube to form a net of area \(18\text{ cm}^2\). What was the cube’s volume?","\(3^3\)","\(6\)","\(9\)","\(6\sqrt{3}\)","\(9\sqrt{3}\)","a"
"9","2025","AMC","8","9","Ningli averages the pairs of opposite numbers on a clock. What is the average of those \(6\) averages?","\(5\)","\(6.5\)","\(8\)","\(9.5\)","\(12\)","b"
"10","2025","AMC","8","10","Rectangle \(ABCD\) has sides \(AB=5\) in, \(AD=3\) in. It’s rotated \(90^{\circ}\) around midpoint of \(DC\). What total area do both rectangles cover?","\(21\)","\(22.25\)","\(23\)","\(23.75\)","\(25\)","d"
"11","2025","AMC","8","11","Three tetrominoes cover a \(3 \times 4\) rectangle. At least one is an S-tile. What are the other two?","I and L","I and T","L and L","L and S","O and T","c"
"12","2025","AMC","8","12","A region of \(24\) unit squares (\(1\text{ cm}\) each) can fit a circle inside. What is the largest possible circle area?","\(3\pi\)","\(4\pi\)","\(5\pi\)","\(6\pi\)","\(8\pi\)","c"
"13","2025","AMC","8","13","Each even number \(2,4,6,\dots,50\) is divided by \(7\). Which histogram matches the remainders?","A","B","C","D","E","a"
"14","2025","AMC","8","14","Insert \(N\) into list \(2,6,7,7,28\). Mean becomes twice the median. Find \(N\).","\(7\)","\(14\)","\(20\)","\(28\)","\(34\)","e"
"15","2025","AMC","8","15","Kei colors \(13\) of the \(6\times6\) grid squares silver, rest gold. After folding vertically, let \(m\) and \(M\) be min and max gold-on-gold pairs. Find \(m+M\).","\(12\)","\(14\)","\(16\)","\(18\)","\(20\)","c"
"16","2025","AMC","8","16","Five distinct integers chosen from \(1\text{–}10\) and five from \(11\text{–}20\). No two differ by \(10\). Find sum of all \(10\) numbers.","\(95\)","\(100\)","\(105\)","\(110\)","\(115\)","c"
"17","2025","AMC","8","17","Cities \(A,B,C\) have \(100,120,160\) residents. \(\frac14\) of \(A\) works in \(B\). How many people work in \(A\)?","\(55\)","\(60\)","\(85\)","\(115\)","\(160\)","d"
"18","2025","AMC","8","18","Left circle radius \(1\). Shaded ring between circle and square equals \(\tfrac14\) of right circle’s ring. Radii \(R\) satisfy equal shaded areas. Find \(R\).","\(\sqrt{2}\)","\(2\)","\(2\sqrt{2}\)","\(4\)","\(4\sqrt{2}\)","b"
"19","2025","AMC","8","19","Towns \(A,B\) are \(15\) miles apart. Speed limits: \(5,25,40\) mph per \(5\)-mile segment. Cars start from both towns at speed limit. Where (mi from \(A\)) do they meet?","\(7.75\)","\(8\)","\(8.25\)","\(8.5\)","\(8.75\)","d"
"20","2025","AMC","8","20","Sarika, Dev, and Rajiv each eat half of what remains of a cheese block, alternating turns starting with Sarika. What fraction does Sarika eat total?","\(\tfrac{7}{4}\)","\(\tfrac{5}{3}\)","\(\tfrac{3}{2}\)","\(\tfrac{4}{3}\)","\(\tfrac{8}{7}\)","a"
"21","2025","AMC","8","21","Pods \(A\)–\(G\) assigned grades \(1\)–\(7\) with connected pods differing by \(\leq 2\). Find sum of grades in pods \(C,E,F\).","\(12\)","\(13\)","\(14\)","\(15\)","\(16\)","a"
"22","2025","AMC","8","22","Row of \(35\) hooks equally spaced between coats and ends. At least \(1\) coat and \(1\) empty hook. How many possible coat counts?","\(2\)","\(4\)","\(5\)","\(7\)","\(9\)","d"
"23","2025","AMC","8","23","Four-digit numbers satisfy: (I) tens and ones digits are \(9\), (II) number is \(1\) less than a square, (III) product of exactly \(2\) primes. How many?","\(0\)","\(1\)","\(2\)","\(3\)","\(4\)","b"
"24","2025","AMC","8","24","Trapezoid \(ABCD\) with \(\angle B=60^\circ\), \(\angle C=30^\circ\), \(AB=DC\), integer sides, perimeter \(50\). How many non-congruent trapezoids possible?","\(0\)","\(1\)","\(2\)","\(3\)","\(4\)","e"
"25","2025","AMC","8","25","Makayla finds all paths in a \(5\times5\) diamond grid moving NE or NW from bottom to top. She sums areas between each path and right side. What is the total sum?","\(2520\)","\(3150\)","\(3840\)","\(4730\)","\(5050\)","b"
